trade_code    fund_abbr_name
 000004    中海可转债C
 000016    华夏纯债债券C
 000023    南方中票C
 000025    大摩双利增强债券C
 000033    易方达信用债债券C
 000048    华夏双债增强债券C
 000052    长盛纯债债券C
 000068    民生加银转债优选C
 000070    国投瑞银中高等级债券C
 000077    工银信用纯债一年定开债券C
 000079    工银信用纯债两年定开债券C
 000081    天治可转债C
 000085    博时安盈债券C
 000088    嘉实中证金边国债ETF联接C
 000106    建信安心回报债券C
 000109    富国稳健增强债券C
 000112    易方达纯债1年定开债券C
 000115    嘉实如意宝定期债券C
 000119    广发聚鑫债券C
 000123    汇添富实业债债券C
 000131    大成景兴信用债债券C
 000138    民生加银岁岁增利C
 000148    易方达高等级信用债C
 000150    华安双债添利债券C
 000153    大成景旭纯债C
 000175    汇添富高息债债券C
 000182    景顺长城四季金利债券C
 000188    华泰柏瑞丰盛纯债债券C
 000192    富国信用债债券C
 000206    易方达投资级信用债债券C
 000208    建信双债增强债券C
 000213    泰信鑫益定期开放债券C
 000217    华安黄金易ETF联接C
 000222    汇添富年年利定期开放债券C
 000226    长盛年年收益定期开放债券C
 000238    国投瑞银一年定期开放债C
 000240    华安年年盈定开债C
 000241    宝盈核心优势混合C
 000253    景顺长城景兴信用纯债C
 000255    长城增强收益定开债券C
 000258    上投岁岁盈定开债券C
 000266    易方达恒久添利1年定开债券C
 000268    广发集利一年定期开放债券C
 000272    中邮定期开放债券C
 000281    博时双债增强债券C
 000288    银华永利债券C
 000299    中海纯债债券C
 000304    长盛双月红定期债券C
 000313    华安沪深300增强C
 000332    中加货币C
 000334    长城稳固收益债券C
 000335    安信永利信用C
 000347    建信安心回报两年定开债券C
 000352    国富恒丰定期债券C
 000356    南方丰元C
 000363    国泰聚信价值优势灵活配置C
 000376    华安中证细分医药ETF联接C
 000378    上投双债增利C
 000386    景顺长城景颐双利债券C
 000396    汇添富安心中国债券C
 000401    中融增鑫定期开放债券C
 000407    汇添富双利增强债券C
 000413    国开岁月鎏金定开信用债C
 000416    大摩添利18个月开放债券C
 000420    大摩优质信价纯债C
 000422    华泰柏瑞丰汇债券C
 000427    大成信用增利一年定开债券C
 000474    广发集鑫债券C
 000481    华商双债丰利债券C
 000490    光大保德信岁末红利纯债C
 000495    南方现金通货币C
 000504    中信建投稳信一年C
 000553    中加纯债一年C
 000557    国投新机遇混合C
 000562    南方启元C
 000564    南方通利C
 000579    鑫元一年定期开放债券C
 000617    上投摩根优信增利债券C
 000630    圆信永丰纯债C
 000642    汇添富货币C
 000659    银华活钱宝货币C
 000669    国寿安保尊享债券C
 000682    信达澳银慧管家C
 000692    汇添富双利债券C
 000720    南方稳利1年定开债券C
 000723    建信稳定添利债券C
 000737    诺安聚利债券C
 000745    北信瑞丰稳定收益C
 000754    华宝兴业量化对冲混合C
 000758    招商招钱宝货币C
 000782    国投岁增利一年定开债券C
 000787    华融现金增利货币C
 000796    宝盈睿丰创新混合C
 000802    中金纯债C
 000812    富国收益增强债券C
 000818    诺安天天宝C
 000825    圆信永丰双红利C
 000832    天弘现金管家货币C
 000840    上投摩根纯债丰利债券C
 000843    富国新回报灵活配置C
 000846    中融货币C
 000850    汇丰晋信双核策略C
 000859    融通通瑞债券C
 000862    富国天时货币C
 000876    建信稳定得利债券C
 000879    中海医药健康产业混合C
 000890    上投摩根纯债添利债券C
 000897    鑫元半年定期开放债券C
 000899    华富恒稳纯债债券C
 000910    鑫元合丰纯债C
 000923    中邮现金驿站C
 000933    前海开源睿远稳健增利混合C
 000938    华商稳固添利债券C
